host,passed,failed,compliance_percentage
chaos,145,22,86.83
erwintest,151,16,90.42
apexdev,156,11,93.41
apexqa,155,12,92.81
apextst,155,12,92.81
bswappsync1,157,10,94.01
apexprod,153,14,91.62
eaedev,134,33,80.24
easdev,140,27,83.83
bswcloud02ug,0,0,0.0
cmparch,0,0,0.0
edwdev,138,29,82.63
gordius,124,43,74.25
bswcloud01ug,0,0,0.0
cenrmanug,0,0,0.0
provationtest,150,17,89.82
provtestdb,145,22,86.83
eaeprd,140,27,83.83
eaetst,140,27,83.83
easprdug,0,0,0.0
eastst,133,34,79.64
provationprod,151,16,90.42
provdb1srv,148,19,88.62
ntxcloudctl,151,16,90.42
edwtst,148,19,88.62
cltest1,145,22,86.83
cltest2,144,23,86.23
idmdbdev,0,0,0.0
idmdbqa,0,0,0.0
epictesthat1,136,31,81.44
epictesthat2,136,31,81.44
baucis,101,66,60.48
nymphi,95,72,56.89
ntxnim,101,66,60.48
drlabdb1,90,77,53.89
lawdevapp,92,75,55.09
lawtrainapp,0,0,0.0
lawtraindbdr,91,76,54.49
